Record ID,Seed Size (mm),Seed Weight (g),Germination Rate (%),Seed Purity (%),Seed Viability (%),Seed Coat Thickness (mm),Soil pH,Organic Matter (%),Temperature (°C),Rainfall (mm),Humidity (%),Fertilizer Amount (kg/ha),Irrigation (mm),Planting Density (plants/ha),Planting Depth (cm),Crop Yield (kg/ha),Field Size (ha),Harvest Date,Fertilizer Type_Urea,Pest Incidence_Low,Pest Incidence_Moderate,Disease Incidence_Low,Disease Incidence_Moderate,Crop Variety_Variety B,Crop Variety_Variety C
11,5.18,0.2,91.66,92.26,96.45,0.27,6.7,2.4,29.4,98.3,66.8,77.0,58.0,1163.0,2.8,3660.0,3.7,2024-08-06,True,False,False,True,False,True,False
12,5.06,0.25,88.14,90.93,98.97,0.34,6.6,2.3,23.5,133.6,77.9,123.0,56.0,1093.0,2.6,3162.0,3.8,2024-09-06,True,False,False,False,False,True,False
13,5.11,0.2,86.32,96.64,90.05,0.27,6.5,2.7,26.5,103.5,74.2,84.0,47.0,1124.0,3.1,3849.0,3.5,2024-09-12,False,False,False,True,False,False,False
14,5.07,0.21,89.78,92.65,92.44,0.35,6.4,2.9,26.3,137.7,70.1,105.0,50.0,959.0,3.2,3281.0,2.5,2024-09-25,False,False,True,True,False,False,False
15,5.15,0.22,97.23,99.54,99.15,0.29,6.0,2.9,24.3,148.0,79.3,121.0,46.0,1016.0,3.4,3317.0,2.8,2024-09-10,False,False,True,False,True,True,False
16,5.06,0.29,94.05,95.7,90.97,0.31,7.0,2.1,25.2,142.6,74.8,112.0,54.0,1008.0,2.8,3809.0,3.7,2024-08-14,True,True,False,False,True,True,False
17,5.37,0.29,91.65,95.02,97.98,0.31,6.7,2.8,28.9,110.3,67.5,76.0,52.0,911.0,3.0,3543.0,2.9,2024-08-05,True,False,False,False,False,False,True
18,5.09,0.2,85.49,98.23,93.6,0.26,6.5,2.8,22.2,127.4,61.7,73.0,51.0,1062.0,3.1,3726.0,4.0,2024-08-11,False,False,False,False,False,False,False
19,5.02,0.23,95.34,92.71,94.39,0.26,6.0,3.0,28.4,131.8,68.2,80.0,43.0,975.0,3.0,3715.0,3.5,2024-09-14,True,False,True,False,True,False,True
20,4.78,0.3,94.59,95.54,96.12,0.29,6.2,2.4,27.6,90.9,62.3,73.0,41.0,1157.0,3.2,3474.0,2.6,2024-08-15,False,False,False,False,True,False,False
21,4.99,0.25,87.25,94.34,93.99,0.31,6.6,2.0,23.7,127.6,70.1,121.0,53.0,949.0,2.6,3642.0,2.5,2024-08-05,False,False,True,False,True,True,False
22,5.09,0.29,92.48,93.88,96.43,0.3,6.5,2.9,23.9,147.7,78.1,82.0,41.0,930.0,2.5,3094.0,3.5,2024-08-14,False,False,False,False,False,True,False
23,4.57,0.23,95.98,90.23,98.14,0.28,6.1,2.7,26.3,142.6,74.7,118.0,46.0,953.0,3.3,3807.0,4.0,2024-08-10,True,False,True,False,False,True,False
24,4.91,0.24,95.09,93.41,99.31,0.34,6.4,2.8,27.5,96.2,78.1,100.0,57.0,996.0,3.4,3389.0,2.5,2024-09-05,True,True,False,True,False,False,True
25,5.41,0.21,89.15,99.5,99.51,0.31,6.6,2.4,22.9,109.7,73.5,115.0,56.0,1137.0,2.6,3494.0,2.6,2024-09-27,True,False,False,False,False,True,False
26,5.05,0.24,96.54,93.51,91.17,0.26,6.8,2.6,21.0,95.0,74.0,74.0,56.0,1112.0,2.6,3085.0,4.0,2024-09-02,True,False,True,True,False,False,False
27,4.87,0.24,95.57,99.47,99.86,0.33,6.4,2.1,27.8,123.5,68.5,124.0,42.0,1048.0,2.5,3469.0,2.6,2024-08-10,True,True,False,True,False,False,False
28,4.62,0.21,93.44,97.46,95.83,0.35,6.4,2.3,28.7,103.4,79.3,71.0,59.0,913.0,3.4,3528.0,4.0,2024-08-05,False,False,False,False,True,False,True
29,4.57,0.26,97.6,95.23,96.29,0.32,6.5,2.6,25.8,144.1,60.9,87.0,59.0,1167.0,3.0,3620.0,2.9,2024-09-03,True,False,True,False,False,True,False
30,4.69,0.25,89.59,95.84,90.78,0.35,7.0,2.7,25.4,108.6,76.3,111.0,43.0,1173.0,3.3,3950.0,3.6,2024-09-16,True,False,False,True,False,False,True
31,5.11,0.24,97.13,98.66,90.45,0.25,6.4,2.8,29.9,99.0,71.9,93.0,59.0,1153.0,3.3,3469.0,3.1,2024-09-19,False,False,False,False,False,True,False
32,4.77,0.21,96.24,98.13,100.0,0.35,6.6,2.8,29.4,141.0,64.9,97.0,43.0,1186.0,3.1,3229.0,3.5,2024-08-11,True,True,False,False,True,True,False
33,5.12,0.24,86.48,96.72,95.2,0.33,6.5,2.9,25.5,123.7,77.5,94.0,43.0,909.0,3.3,3620.0,3.6,2024-08-17,True,True,False,False,False,False,True
34,4.71,0.21,85.19,93.51,95.9,0.29,6.4,2.9,23.5,120.8,75.7,94.0,52.0,1159.0,3.4,3147.0,3.9,2024-08-20,False,False,False,True,False,False,True
35,4.99,0.23,90.97,99.8,94.93,0.28,6.6,2.2,20.8,97.7,62.6,79.0,43.0,1092.0,2.7,3346.0,3.8,2024-09-04,False,True,False,False,True,False,False
36,4.97,0.27,87.24,91.92,90.41,0.27,6.3,2.2,20.9,97.2,69.2,82.0,47.0,1051.0,3.2,3039.0,3.7,2024-08-02,False,False,False,False,True,True,False
37,5.13,0.21,96.36,99.21,90.61,0.28,6.8,2.7,21.8,102.6,67.4,99.0,52.0,1011.0,3.0,3747.0,2.6,2024-08-04,False,False,True,False,True,False,False
38,4.75,0.27,96.64,95.12,95.32,0.26,6.4,2.5,22.4,106.2,67.5,71.0,46.0,963.0,2.8,3120.0,3.8,2024-09-16,False,False,False,True,False,False,False
39,5.09,0.27,95.26,94.98,90.87,0.3,6.6,2.7,24.3,97.7,65.7,92.0,53.0,1071.0,2.9,3987.0,3.4,2024-08-09,True,True,False,False,False,False,False
40,4.74,0.21,86.99,92.46,91.61,0.27,6.3,2.2,29.0,94.8,70.5,95.0,60.0,934.0,2.9,3969.0,3.8,2024-09-03,True,False,False,True,False,True,False
41,5.32,0.23,87.22,96.69,99.29,0.31,6.6,2.3,27.7,101.2,66.5,96.0,50.0,973.0,2.6,3611.0,2.9,2024-09-14,True,True,False,False,False,False,True
42,5.08,0.22,91.25,95.33,90.52,0.28,6.1,2.1,29.9,109.3,76.2,85.0,54.0,1128.0,3.1,3472.0,3.1,2024-09-12,False,False,False,False,True,True,False
43,4.85,0.29,95.8,99.65,91.24,0.32,6.9,2.2,20.7,134.5,71.5,121.0,43.0,1139.0,2.7,3164.0,2.7,2024-08-08,True,False,True,False,False,True,False
44,5.31,0.27,91.8,93.59,98.77,0.29,6.8,2.4,23.8,117.8,66.0,115.0,50.0,970.0,3.4,3384.0,3.3,2024-08-02,False,True,False,True,False,True,False
45,5.41,0.26,86.52,99.4,96.28,0.28,6.1,2.8,26.2,122.0,77.9,117.0,43.0,994.0,2.7,3744.0,2.6,2024-08-05,False,False,False,True,False,False,False
46,5.07,0.28,96.4,93.42,98.21,0.26,6.8,2.1,24.0,137.8,63.0,84.0,54.0,1116.0,3.1,3694.0,3.3,2024-09-25,False,True,False,True,False,False,False
47,4.75,0.23,87.36,99.08,95.83,0.29,6.5,2.9,21.5,125.2,70.1,107.0,40.0,1162.0,3.4,3565.0,3.5,2024-08-18,True,True,False,False,False,False,False
48,5.42,0.27,86.98,95.76,96.07,0.29,6.7,2.9,29.3,117.1,62.3,129.0,57.0,937.0,3.4,3870.0,3.3,2024-09-16,True,True,False,False,False,False,False
49,5.09,0.24,85.71,93.35,98.03,0.25,6.3,2.4,25.4,145.2,66.9,91.0,55.0,1036.0,2.7,3452.0,2.7,2024-08-13,True,True,False,False,True,True,False
50,4.68,0.25,90.45,99.15,93.62,0.31,6.6,2.0,26.6,100.7,79.2,79.0,48.0,926.0,3.5,3502.0,3.4,2024-08-23,False,True,False,False,False,True,False
51,4.57,0.27,87.73,98.98,92.05,0.27,6.0,2.5,25.6,93.9,75.5,97.0,50.0,1032.0,2.9,3560.0,2.7,2024-08-04,True,False,True,False,True,False,True
52,4.68,0.29,97.3,93.73,92.71,0.31,6.4,2.0,21.6,133.0,73.2,72.0,44.0,969.0,3.2,3020.0,2.7,2024-08-22,False,True,False,False,True,False,True
53,5.3,0.22,93.49,92.38,90.99,0.27,6.7,2.9,28.3,113.8,73.4,82.0,46.0,1169.0,2.5,3086.0,2.8,2024-09-04,False,True,False,True,False,False,False
54,4.53,0.22,92.58,94.21,98.93,0.33,6.3,2.3,23.8,125.4,65.4,107.0,48.0,1066.0,2.9,3294.0,3.9,2024-08-18,True,True,False,False,True,False,False
55,5.26,0.21,96.29,94.87,98.95,0.33,6.4,2.0,22.7,122.5,72.7,85.0,43.0,1150.0,3.5,3526.0,2.8,2024-09-21,True,True,False,True,False,True,False
56,4.77,0.2,96.89,91.18,95.77,0.28,6.6,2.7,28.3,102.4,60.2,78.0,58.0,1162.0,3.1,3601.0,3.5,2024-09-23,False,True,False,False,False,False,True
57,4.68,0.29,90.44,93.83,95.19,0.25,6.2,2.7,20.8,126.2,64.9,93.0,46.0,1007.0,3.2,3297.0,3.3,2024-08-27,False,True,False,True,False,False,False
58,4.98,0.27,97.18,97.33,92.15,0.25,6.3,2.6,20.5,119.8,71.9,90.0,55.0,932.0,2.6,3728.0,3.2,2024-09-27,True,False,True,True,False,True,False
59,5.19,0.24,88.2,98.19,97.99,0.32,6.3,2.6,23.6,95.5,78.3,78.0,59.0,1034.0,2.7,3542.0,3.8,2024-08-25,False,True,False,False,True,False,False
60,5.23,0.28,93.56,96.92,98.49,0.27,6.5,2.2,29.9,146.6,60.8,112.0,59.0,954.0,3.1,3915.0,2.6,2024-09-14,True,False,True,False,True,True,False
61,5.2,0.23,97.02,99.71,99.44,0.3,6.9,2.8,23.2,139.7,60.7,106.0,45.0,936.0,2.6,3696.0,3.0,2024-08-14,True,True,False,True,False,True,False
62,5.22,0.21,89.1,95.39,97.91,0.28,6.6,2.9,26.2,104.0,60.5,122.0,40.0,1162.0,3.0,3939.0,3.7,2024-08-04,False,False,False,False,False,False,True
63,5.5,0.24,94.97,94.02,94.8,0.31,6.9,3.0,27.7,115.1,68.4,114.0,45.0,933.0,2.9,3287.0,2.9,2024-08-31,True,True,False,True,False,False,True
64,4.73,0.2,85.23,99.88,94.28,0.29,6.7,2.2,29.5,137.2,61.8,95.0,58.0,1183.0,3.0,3613.0,2.8,2024-09-24,False,True,False,False,False,False,False
65,5.49,0.22,97.26,96.5,96.08,0.3,6.2,2.2,22.2,101.2,75.6,91.0,41.0,1191.0,3.4,3928.0,4.0,2024-09-13,False,True,False,False,False,False,False
66,4.67,0.24,94.86,96.96,91.54,0.33,6.2,2.2,25.4,125.6,71.6,75.0,58.0,980.0,2.6,3889.0,3.9,2024-08-16,False,False,True,True,False,False,True
67,5.36,0.28,93.52,95.51,90.87,0.29,6.4,2.3,27.2,119.8,61.6,83.0,54.0,923.0,3.4,3495.0,3.2,2024-09-12,False,False,False,True,False,True,False
68,5.09,0.28,89.52,96.78,95.66,0.28,6.9,2.8,26.6,141.0,77.3,113.0,57.0,1109.0,3.2,3619.0,3.6,2024-09-15,True,False,True,True,False,False,True
69,4.66,0.29,96.33,90.29,98.26,0.26,6.3,2.7,21.6,139.1,76.6,100.0,40.0,986.0,3.1,3981.0,3.4,2024-08-09,True,True,False,False,True,True,False
70,4.76,0.26,92.02,97.8,91.07,0.33,6.5,3.0,23.4,128.0,78.6,76.0,59.0,1106.0,2.6,3301.0,3.6,2024-08-01,True,False,True,False,True,False,False
71,4.57,0.26,89.5,96.21,90.46,0.34,7.0,3.0,27.5,97.8,75.2,71.0,40.0,997.0,3.0,3770.0,3.5,2024-08-05,True,False,False,False,False,False,False
72,4.95,0.23,97.96,94.26,94.51,0.27,6.8,2.7,22.2,94.9,73.6,109.0,45.0,1185.0,2.7,3432.0,3.9,2024-09-29,False,False,False,False,True,False,False
73,4.92,0.26,90.17,92.74,99.84,0.29,6.9,2.2,22.1,91.9,73.0,92.0,57.0,1042.0,3.5,3186.0,3.8,2024-08-19,True,True,False,True,False,True,False
74,5.28,0.28,95.98,97.61,96.26,0.26,6.0,2.9,26.2,137.8,69.6,77.0,43.0,1106.0,2.9,3201.0,3.2,2024-08-20,False,False,True,False,False,False,True
75,4.56,0.26,88.5,97.98,93.1,0.3,6.0,2.1,23.9,118.8,72.0,87.0,54.0,1158.0,3.3,3040.0,3.2,2024-09-29,False,False,False,False,False,True,False
76,4.6,0.22,97.83,91.42,94.99,0.31,6.7,2.6,20.1,109.6,70.4,75.0,47.0,910.0,2.6,3397.0,2.7,2024-09-26,False,True,False,False,True,False,False
77,5.07,0.27,95.41,92.0,91.67,0.26,6.6,2.7,20.3,146.2,61.0,102.0,54.0,1161.0,3.2,3802.0,3.0,2024-08-18,False,False,False,False,False,False,False
78,5.31,0.21,96.63,95.48,98.17,0.3,6.6,2.5,27.3,94.9,61.2,85.0,43.0,1162.0,2.7,3976.0,3.0,2024-08-22,True,False,False,True,False,False,True
79,4.68,0.28,93.56,94.98,95.55,0.32,6.2,3.0,29.7,129.0,64.0,111.0,41.0,909.0,2.8,3463.0,3.8,2024-09-02,False,False,False,False,False,True,False
80,5.23,0.27,90.53,93.46,93.71,0.35,6.0,2.9,25.8,116.3,74.5,99.0,57.0,1170.0,2.9,3277.0,3.4,2024-09-10,True,False,True,True,False,False,False
81,5.41,0.22,93.1,96.32,97.33,0.26,6.7,2.9,21.8,104.3,79.4,81.0,57.0,1048.0,2.7,3871.0,3.2,2024-08-22,True,False,True,True,False,False,False
82,5.01,0.24,92.71,91.64,93.91,0.35,6.3,2.7,23.3,136.4,62.6,128.0,49.0,971.0,2.6,3170.0,3.3,2024-09-17,False,False,False,False,True,False,False
83,4.84,0.28,90.6,92.49,96.17,0.32,6.2,2.2,20.4,134.2,73.3,98.0,57.0,1142.0,3.1,3868.0,2.8,2024-09-05,True,False,False,False,False,True,False
84,4.61,0.23,85.74,95.31,99.37,0.25,6.1,2.5,29.3,109.0,70.1,72.0,43.0,1196.0,3.5,3005.0,3.9,2024-09-27,False,True,False,True,False,False,True
85,5.14,0.29,90.91,95.16,94.89,0.32,6.1,2.0,23.1,132.3,64.0,110.0,59.0,928.0,3.2,3444.0,3.8,2024-09-07,False,False,False,True,False,True,False
86,4.68,0.27,95.9,99.45,96.83,0.3,6.6,2.9,25.7,91.8,78.6,111.0,54.0,965.0,3.2,3394.0,3.5,2024-08-20,False,False,True,True,False,False,False
87,4.61,0.27,97.99,90.48,99.77,0.29,6.9,2.8,25.7,134.3,77.6,94.0,47.0,1100.0,3.3,3762.0,3.7,2024-09-13,True,True,False,False,True,False,False
88,4.94,0.28,86.56,95.44,90.06,0.28,6.4,2.4,27.0,113.3,69.0,84.0,47.0,968.0,2.6,3603.0,3.5,2024-09-19,False,False,False,True,False,True,False
89,5.12,0.25,89.94,98.63,95.19,0.3,6.0,2.3,23.8,113.9,71.6,102.0,52.0,1129.0,3.3,3718.0,3.9,2024-09-29,True,False,False,False,False,False,False
90,4.52,0.22,85.1,96.47,98.98,0.27,6.9,2.1,29.3,111.1,62.0,99.0,45.0,985.0,2.8,3803.0,3.3,2024-08-02,False,True,False,True,False,True,False
91,4.81,0.26,94.31,92.73,94.14,0.26,6.2,2.7,21.8,121.5,74.2,76.0,51.0,977.0,3.5,3484.0,3.7,2024-09-21,False,False,False,False,True,True,False
92,5.05,0.2,93.23,99.51,96.02,0.33,6.9,2.2,22.1,126.7,68.2,120.0,58.0,1006.0,2.7,3781.0,2.9,2024-08-07,False,False,True,True,False,False,True
93,5.32,0.24,93.68,90.96,96.24,0.3,6.6,2.2,27.4,141.8,64.3,76.0,40.0,1093.0,3.1,3547.0,2.8,2024-08-13,True,True,False,False,True,False,False
94,4.89,0.26,91.46,99.88,91.36,0.32,6.4,2.4,27.2,131.5,79.8,78.0,42.0,1117.0,3.1,3274.0,2.6,2024-08-15,True,False,True,False,True,False,False
95,4.59,0.29,87.49,93.23,92.27,0.29,6.1,2.5,20.7,138.0,64.7,102.0,58.0,1095.0,3.0,3324.0,3.0,2024-08-22,False,False,False,True,False,True,False
96,5.17,0.3,93.6,95.58,97.31,0.3,6.1,2.6,29.6,100.5,73.8,82.0,51.0,929.0,3.0,3756.0,3.0,2024-09-11,True,True,False,False,True,True,False
97,5.16,0.28,97.05,92.35,93.99,0.27,7.0,2.9,25.4,140.5,70.4,107.0,42.0,1127.0,2.6,3826.0,3.7,2024-09-30,True,False,False,False,False,True,False
98,5.21,0.2,88.94,92.63,93.6,0.26,6.9,2.6,23.1,113.8,68.9,106.0,50.0,1176.0,3.0,3992.0,3.8,2024-09-07,False,True,False,False,True,False,False
99,4.71,0.29,86.51,98.17,93.81,0.34,6.9,2.8,27.9,108.3,61.6,94.0,43.0,1108.0,2.8,3976.0,3.5,2024-08-28,True,True,False,True,False,False,True
100,5.32,0.21,96.21,99.23,94.87,0.31,6.8,2.2,25.0,113.9,62.9,92.0,41.0,908.0,2.6,3963.0,3.3,2024-09-08,True,False,False,False,True,True,False
101,5.47,0.24,89.05,95.06,94.4,0.26,6.6,2.2,26.2,129.0,63.0,74.0,56.0,1038.0,2.6,3995.0,2.6,2024-08-17,False,False,True,False,False,False,False
102,5.2,0.3,88.11,91.42,91.21,0.28,6.1,2.7,20.6,120.6,79.9,119.0,52.0,992.0,3.1,3527.0,3.1,2024-09-03,False,False,False,False,True,False,False
103,4.63,0.29,90.85,91.95,93.68,0.29,6.8,2.7,27.7,90.7,68.3,99.0,40.0,978.0,3.3,3137.0,3.3,2024-09-30,False,False,True,False,True,False,False
104,4.72,0.2,88.14,99.76,98.02,0.35,6.5,2.1,25.5,117.3,76.9,76.0,50.0,945.0,2.8,3737.0,3.2,2024-09-24,True,False,False,False,True,False,True
105,4.88,0.24,90.97,97.85,98.92,0.35,6.8,2.3,26.9,116.3,65.1,120.0,41.0,1171.0,3.0,3637.0,3.5,2024-08-20,False,False,False,False,True,False,True
106,5.4,0.26,92.98,90.67,95.18,0.27,6.7,2.5,26.8,92.5,61.7,113.0,41.0,921.0,2.5,3957.0,3.6,2024-08-19,True,False,True,False,True,False,True
107,4.85,0.23,89.55,97.75,96.61,0.27,6.2,2.1,26.6,135.9,65.3,71.0,42.0,1190.0,2.8,3769.0,3.4,2024-09-30,False,True,False,False,True,False,True
108,4.88,0.22,86.58,96.15,97.75,0.31,6.5,2.0,29.7,137.9,65.9,129.0,52.0,1075.0,3.2,3812.0,3.5,2024-09-09,True,False,False,False,False,False,False
109,4.63,0.23,97.07,92.25,93.72,0.29,6.4,2.6,29.4,104.4,62.4,82.0,58.0,1094.0,2.8,3816.0,3.8,2024-08-20,True,False,True,False,False,False,False
110,5.35,0.29,88.28,97.55,94.61,0.33,6.7,2.8,26.6,100.6,70.9,129.0,59.0,913.0,2.7,3132.0,3.6,2024-09-08,True,True,False,False,True,False,True
111,5.32,0.22,91.58,98.41,97.33,0.3,6.6,2.5,23.0,123.9,73.8,122.0,53.0,1128.0,2.7,3462.0,2.5,2024-09-13,True,False,True,False,True,True,False
112,4.75,0.27,97.89,90.99,94.01,0.33,6.2,2.6,27.3,127.0,63.8,91.0,56.0,1066.0,2.5,3761.0,2.6,2024-08-11,False,False,False,False,True,False,True
113,5.25,0.22,97.45,93.68,93.27,0.26,6.3,2.9,30.0,112.1,69.0,113.0,58.0,1078.0,2.9,3413.0,3.5,2024-09-10,False,False,True,False,False,False,True
114,4.5,0.26,89.62,97.94,90.93,0.31,6.5,2.6,20.6,124.8,71.2,104.0,52.0,1103.0,3.3,3270.0,3.7,2024-08-20,True,True,False,True,False,False,True
115,5.0,0.21,85.76,93.34,97.85,0.32,6.8,2.5,24.4,98.8,66.6,96.0,42.0,966.0,3.1,3736.0,4.0,2024-08-03,False,True,False,True,False,False,False
116,5.43,0.26,90.48,96.36,97.86,0.26,6.4,2.8,23.8,124.3,71.8,81.0,47.0,1000.0,2.5,3024.0,3.7,2024-08-30,False,False,True,False,False,False,False
117,4.77,0.25,88.88,99.41,92.59,0.29,6.9,2.8,21.9,138.2,69.2,99.0,43.0,924.0,3.2,3496.0,3.2,2024-09-15,True,False,False,False,False,False,False
118,5.23,0.28,87.07,96.1,91.35,0.33,6.7,3.0,20.7,93.4,65.6,86.0,45.0,1172.0,2.7,3272.0,3.6,2024-08-10,True,False,True,False,True,False,False
119,4.95,0.28,85.85,94.88,90.34,0.26,6.9,2.1,25.3,114.7,66.9,124.0,40.0,1099.0,3.5,3560.0,3.9,2024-08-12,False,True,False,False,True,False,False
120,4.55,0.24,88.38,97.31,99.81,0.28,6.7,2.2,25.7,117.8,79.4,107.0,47.0,934.0,2.7,3225.0,2.9,2024-09-28,True,True,False,False,False,False,False
121,5.35,0.26,91.8,91.15,98.6,0.32,6.1,2.7,25.4,94.9,69.2,99.0,43.0,1184.0,3.3,3669.0,3.2,2024-09-12,False,False,True,True,False,True,False
122,4.91,0.27,92.09,90.62,95.13,0.33,6.5,2.1,27.9,102.1,65.2,80.0,47.0,1127.0,3.0,3205.0,3.8,2024-09-27,True,False,True,False,False,False,True
123,5.38,0.29,88.1,94.51,99.85,0.33,6.0,2.1,24.6,144.6,70.8,100.0,42.0,1097.0,3.3,3380.0,3.7,2024-09-17,True,False,False,False,True,False,False
124,5.46,0.22,91.8,92.87,97.93,0.31,6.6,2.8,24.0,144.9,70.7,79.0,54.0,1138.0,2.8,3857.0,3.9,2024-09-23,True,False,True,False,True,False,False
125,4.78,0.3,86.83,92.02,91.84,0.34,6.7,2.2,24.4,126.9,61.7,123.0,56.0,1052.0,3.5,3418.0,4.0,2024-08-16,True,False,False,False,True,False,True
126,5.17,0.26,87.16,98.82,94.27,0.27,6.0,2.6,25.3,133.2,77.8,75.0,55.0,956.0,3.4,3819.0,3.3,2024-08-19,True,False,True,True,False,False,True
127,5.21,0.23,91.13,98.22,94.59,0.29,6.5,2.8,23.4,100.4,74.2,120.0,42.0,972.0,2.6,3348.0,3.2,2024-09-27,False,False,True,False,True,True,False
128,5.25,0.27,93.07,93.52,98.41,0.3,7.0,2.6,21.3,130.6,66.5,111.0,41.0,952.0,3.4,3227.0,3.8,2024-08-25,False,True,False,True,False,False,False
129,4.78,0.26,94.02,95.13,93.05,0.27,6.0,2.3,26.5,146.3,77.4,116.0,56.0,1099.0,2.8,3907.0,3.5,2024-08-27,False,False,False,True,False,False,False
130,5.06,0.21,90.81,94.6,98.65,0.3,6.4,3.0,21.1,115.4,60.8,114.0,58.0,984.0,3.4,3292.0,3.9,2024-08-27,True,False,True,False,False,True,False
131,5.25,0.28,85.23,99.63,97.27,0.28,6.8,2.3,28.7,96.8,74.1,102.0,42.0,973.0,2.5,3469.0,3.0,2024-09-27,False,True,False,False,True,True,False
132,5.1,0.23,88.9,97.43,90.48,0.34,6.9,2.7,25.9,143.5,63.7,75.0,45.0,1138.0,2.5,3583.0,4.0,2024-08-01,False,False,False,False,True,True,False
133,5.36,0.25,85.83,98.31,95.99,0.26,6.1,2.9,26.7,139.8,77.6,104.0,50.0,1029.0,2.8,3435.0,3.7,2024-09-04,True,False,True,False,True,True,False
134,5.1,0.29,90.76,96.07,96.31,0.31,6.7,2.2,25.1,96.3,67.7,99.0,53.0,1185.0,3.1,3744.0,3.3,2024-08-28,False,False,True,True,False,True,False
135,5.13,0.21,88.31,93.62,94.72,0.25,6.1,2.3,29.7,109.9,69.6,82.0,52.0,984.0,2.7,3517.0,2.5,2024-09-12,True,True,False,False,True,True,False
136,4.51,0.22,85.48,91.08,93.39,0.33,6.6,2.5,22.9,145.9,67.9,75.0,52.0,934.0,2.8,3507.0,3.8,2024-09-28,True,False,False,True,False,True,False
137,4.99,0.27,97.91,91.31,92.75,0.29,6.4,2.4,29.1,132.8,72.2,89.0,56.0,1187.0,3.3,3002.0,3.5,2024-09-28,False,False,False,False,False,False,False
138,4.55,0.23,85.77,96.04,96.87,0.26,6.4,2.5,23.7,97.3,68.4,115.0,41.0,924.0,2.9,3942.0,3.5,2024-08-02,True,False,False,False,False,False,True
139,5.18,0.24,92.72,90.1,96.36,0.34,6.6,2.9,27.2,97.2,78.0,74.0,51.0,943.0,2.5,3422.0,2.9,2024-09-25,False,False,False,False,True,False,False
140,4.99,0.26,85.57,91.23,95.59,0.28,6.7,2.7,28.5,131.5,68.6,110.0,46.0,992.0,3.3,3446.0,3.7,2024-08-25,True,True,False,True,False,True,False
141,5.32,0.29,96.92,94.31,93.19,0.31,6.4,2.6,27.1,131.3,67.5,80.0,49.0,943.0,3.4,3346.0,2.7,2024-08-22,True,True,False,False,True,True,False
142,4.53,0.26,93.28,93.41,90.72,0.29,6.3,2.7,26.1,111.9,64.4,129.0,49.0,1106.0,2.6,3486.0,2.5,2024-09-23,True,False,True,False,True,True,False
143,5.01,0.3,89.99,90.39,90.31,0.29,6.2,2.0,27.6,117.5,65.8,124.0,42.0,1187.0,2.8,3888.0,3.4,2024-09-04,False,False,True,True,False,False,True
144,5.33,0.3,88.75,99.61,93.89,0.29,6.3,2.5,21.5,123.2,70.8,116.0,57.0,1032.0,2.8,3259.0,2.8,2024-08-05,False,False,True,True,False,False,True
145,4.56,0.23,88.51,99.66,95.58,0.28,6.6,2.1,24.4,127.6,69.8,94.0,60.0,1164.0,3.1,3569.0,3.4,2024-09-23,False,True,False,True,False,False,False
